"SUBJECT","Subject","LOCATION","Country","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","DNK","Denmark","M","Monthly","2018-06","Jun-2018","IDX","Index","0","Units",,,101.6579,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","DNK","Denmark","M","Monthly","2018-07","Jul-2018","IDX","Index","0","Units",,,101.6853,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","DNK","Denmark","M","Monthly","2018-08","Aug-2018","IDX","Index","0","Units",,,101.5845,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","DNK","Denmark","M","Monthly","2018-09","Sep-2018","IDX","Index","0","Units",,,101.3351,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","DNK","Denmark","M","Monthly","2018-10","Oct-2018","IDX","Index","0","Units",,,101.1697,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","DNK","Denmark","M","Monthly","2018-11","Nov-2018","IDX","Index","0","Units",,,101.0431,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","DNK","Denmark","M","Monthly","2018-12","Dec-2018","IDX","Index","0","Units",,,100.828,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","DNK","Denmark","M","Monthly","2019-01","Jan-2019","IDX","Index","0","Units",,,100.6963,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","DNK","Denmark","M","Monthly","2019-02","Feb-2019","IDX","Index","0","Units",,,100.6147,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","DNK","Denmark","M","Monthly","2019-03","Mar-2019","IDX","Index","0","Units",,,100.5808,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","DNK","Denmark","M","Monthly","2019-04","Apr-2019","IDX","Index","0","Units",,,100.5401,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","DNK","Denmark","M","Monthly","2019-05","May-2019","IDX","Index","0","Units",,,100.4649,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","DNK","Denmark","M","Monthly","2019-06","Jun-2019","IDX","Index","0","Units",,,100.2298,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","DNK","Denmark","M","Monthly","2019-07","Jul-2019","IDX","Index","0","Units",,,100.0619,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","DNK","Denmark","M","Monthly","2019-08","Aug-2019","IDX","Index","0","Units",,,99.99625,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","DNK","Denmark","M","Monthly","2019-09","Sep-2019","IDX","Index","0","Units",,,99.93864,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","DNK","Denmark","M","Monthly","2019-10","Oct-2019","IDX","Index","0","Units",,,99.92612,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","DNK","Denmark","M","Monthly","2019-11","Nov-2019","IDX","Index","0","Units",,,100.1097,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","DNK","Denmark","M","Monthly","2019-12","Dec-2019","IDX","Index","0","Units",,,100.2418,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","DNK","Denmark","M","Monthly","2020-01","Jan-2020","IDX","Index","0","Units",,,100.3029,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","DNK","Denmark","M","Monthly","2020-02","Feb-2020","IDX","Index","0","Units",,,100.3843,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","DNK","Denmark","M","Monthly","2020-03","Mar-2020","IDX","Index","0","Units",,,100.3116,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","FIN","Finland","M","Monthly","2018-04","Apr-2018","IDX","Index","0","Units",,,101.6567,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","FIN","Finland","M","Monthly","2018-05","May-2018","IDX","Index","0","Units",,,101.7671,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","FIN","Finland","M","Monthly","2018-06","Jun-2018","IDX","Index","0","Units",,,101.9855,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","FIN","Finland","M","Monthly","2018-07","Jul-2018","IDX","Index","0","Units",,,102.0947,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","FIN","Finland","M","Monthly","2018-08","Aug-2018","IDX","Index","0","Units",,,101.9044,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","FIN","Finland","M","Monthly","2018-09","Sep-2018","IDX","Index","0","Units",,,101.5359,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","FIN","Finland","M","Monthly","2018-10","Oct-2018","IDX","Index","0","Units",,,101.146,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","FIN","Finland","M","Monthly","2018-11","Nov-2018","IDX","Index","0","Units",,,100.799,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","FIN","Finland","M","Monthly","2018-12","Dec-2018","IDX","Index","0","Units",,,100.4492,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","FIN","Finland","M","Monthly","2019-01","Jan-2019","IDX","Index","0","Units",,,100.1557,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","FIN","Finland","M","Monthly","2019-02","Feb-2019","IDX","Index","0","Units",,,99.82026,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","FIN","Finland","M","Monthly","2019-03","Mar-2019","IDX","Index","0","Units",,,99.64116,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","FIN","Finland","M","Monthly","2019-04","Apr-2019","IDX","Index","0","Units",,,99.5443,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","FIN","Finland","M","Monthly","2019-05","May-2019","IDX","Index","0","Units",,,99.49362,,
