"SUBJECT","Subject","LOCATION","Country","MEASURE","Measure","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"XTIMVA01","Imports in goods (value)","GBR","United Kingdom","CXMLSA","US-Dollar converted, Seasonally adjusted","Q","Quarterly","2017-Q3","Q3-2017","USD","US Dollar","9","Billions",,,154.3643,,
"XTIMVA01","Imports in goods (value)","GBR","United Kingdom","CXMLSA","US-Dollar converted, Seasonally adjusted","Q","Quarterly","2017-Q4","Q4-2017","USD","US Dollar","9","Billions",,,157.5035,,
"XTIMVA01","Imports in goods (value)","GBR","United Kingdom","CXMLSA","US-Dollar converted, Seasonally adjusted","Q","Quarterly","2018-Q1","Q1-2018","USD","US Dollar","9","Billions",,,164.3348,,
"XTIMVA01","Imports in goods (value)","GBR","United Kingdom","CXMLSA","US-Dollar converted, Seasonally adjusted","Q","Quarterly","2018-Q2","Q2-2018","USD","US Dollar","9","Billions",,,158.9894,,
"XTIMVA01","Imports in goods (value)","GBR","United Kingdom","CXMLSA","US-Dollar converted, Seasonally adjusted","Q","Quarterly","2018-Q3","Q3-2018","USD","US Dollar","9","Billions",,,158.5445,,
"XTIMVA01","Imports in goods (value)","GBR","United Kingdom","CXMLSA","US-Dollar converted, Seasonally adjusted","Q","Quarterly","2018-Q4","Q4-2018","USD","US Dollar","9","Billions",,,160.4383,,
"XTIMVA01","Imports in goods (value)","GBR","United Kingdom","CXMLSA","US-Dollar converted, Seasonally adjusted","Q","Quarterly","2019-Q1","Q1-2019","USD","US Dollar","9","Billions",,,169.3764,,
"XTIMVA01","Imports in goods (value)","GBR","United Kingdom","CXMLSA","US-Dollar converted, Seasonally adjusted","Q","Quarterly","2019-Q2","Q2-2019","USD","US Dollar","9","Billions",,,149.0794,,
"XTIMVA01","Imports in goods (value)","GBR","United Kingdom","CXMLSA","US-Dollar converted, Seasonally adjusted","Q","Quarterly","2019-Q3","Q3-2019","USD","US Dollar","9","Billions",,,149.2539,,
"XTIMVA01","Imports in goods (value)","GBR","United Kingdom","CXMLSA","US-Dollar converted, Seasonally adjusted","Q","Quarterly","2019-Q4","Q4-2019","USD","US Dollar","9","Billions",,,150.3111,,
"XTEXVA01","Exports in goods (value)","IDN","Indonesia","CXMLSA","US-Dollar converted, Seasonally adjusted","Q","Quarterly","2016-Q4","Q4-2016","USD","US Dollar","9","Billions",,,38.88718,,
"XTEXVA01","Exports in goods (value)","IDN","Indonesia","CXMLSA","US-Dollar converted, Seasonally adjusted","Q","Quarterly","2017-Q1","Q1-2017","USD","US Dollar","9","Billions",,,40.31746,,
"XTEXVA01","Exports in goods (value)","IDN","Indonesia","CXMLSA","US-Dollar converted, Seasonally adjusted","Q","Quarterly","2017-Q2","Q2-2017","USD","US Dollar","9","Billions",,,40.85875,,
"XTEXVA01","Exports in goods (value)","IDN","Indonesia","CXMLSA","US-Dollar converted, Seasonally adjusted","Q","Quarterly","2017-Q3","Q3-2017","USD","US Dollar","9","Billions",,,43.30053,,
"XTEXVA01","Exports in goods (value)","IDN","Indonesia","CXMLSA","US-Dollar converted, Seasonally adjusted","Q","Quarterly","2017-Q4","Q4-2017","USD","US Dollar","9","Billions",,,44.32392,,
"XTEXVA01","Exports in goods (value)","IDN","Indonesia","CXMLSA","US-Dollar converted, Seasonally adjusted","Q","Quarterly","2018-Q1","Q1-2018","USD","US Dollar","9","Billions",,,44.83236,,
"XTEXVA01","Exports in goods (value)","IDN","Indonesia","CXMLSA","US-Dollar converted, Seasonally adjusted","Q","Quarterly","2018-Q2","Q2-2018","USD","US Dollar","9","Billions",,,45.23042,,
"XTEXVA01","Exports in goods (value)","IDN","Indonesia","CXMLSA","US-Dollar converted, Seasonally adjusted","Q","Quarterly","2018-Q3","Q3-2018","USD","US Dollar","9","Billions",,,45.22499,,
"XTEXVA01","Exports in goods (value)","IDN","Indonesia","CXMLSA","US-Dollar converted, Seasonally adjusted","Q","Quarterly","2018-Q4","Q4-2018","USD","US Dollar","9","Billions",,,43.91496,,
"XTEXVA01","Exports in goods (value)","IDN","Indonesia","CXMLSA","US-Dollar converted, Seasonally adjusted","Q","Quarterly","2019-Q1","Q1-2019","USD","US Dollar","9","Billions",,,42.26554,,
"XTEXVA01","Exports in goods (value)","IDN","Indonesia","CXMLSA","US-Dollar converted, Seasonally adjusted","Q","Quarterly","2019-Q2","Q2-2019","USD","US Dollar","9","Billions",,,41.73069,,
"XTEXVA01","Exports in goods (value)","IDN","Indonesia","CXMLSA","US-Dollar converted, Seasonally adjusted","Q","Quarterly","2019-Q3","Q3-2019","USD","US Dollar","9","Billions",,,42.0864,,
"XTEXVA01","Exports in goods (value)","IDN","Indonesia","CXMLSA","US-Dollar converted, Seasonally adjusted","Q","Quarterly","2019-Q4","Q4-2019","USD","US Dollar","9","Billions",,,42.08633,,
"XTEXVA01","Exports in goods (value)","IDN","Indonesia","CXMLSA","US-Dollar converted, Seasonally adjusted","Q","Quarterly","2020-Q1","Q1-2020","USD","US Dollar","9","Billions",,,42.49157,,
"XTEXVA01","Exports in goods (value)","RUS","Russia","CXMLSA","US-Dollar converted, Seasonally adjusted","M","Monthly","2016-10","Oct-2016","USD","US Dollar","9","Billions",,,24.25706,,
"XTEXVA01","Exports in goods (value)","RUS","Russia","CXMLSA","US-Dollar converted, Seasonally adjusted","M","Monthly","2016-11","Nov-2016","USD","US Dollar","9","Billions",,,25.2236,,
"XTEXVA01","Exports in goods (value)","RUS","Russia","CXMLSA","US-Dollar converted, Seasonally adjusted","M","Monthly","2016-12","Dec-2016","USD","US Dollar","9","Billions",,,27.21049,,
"XTEXVA01","Exports in goods (value)","RUS","Russia","CXMLSA","US-Dollar converted, Seasonally adjusted","M","Monthly","2017-01","Jan-2017","USD","US Dollar","9","Billions",,,29.19691,,
"XTEXVA01","Exports in goods (value)","RUS","Russia","CXMLSA","US-Dollar converted, Seasonally adjusted","M","Monthly","2017-02","Feb-2017","USD","US Dollar","9","Billions",,,28.1508,,
"XTEXVA01","Exports in goods (value)","RUS","Russia","CXMLSA","US-Dollar converted, Seasonally adjusted","M","Monthly","2017-03","Mar-2017","USD","US Dollar","9","Billions",,,29.21585,,
"XTEXVA01","Exports in goods (value)","RUS","Russia","CXMLSA","US-Dollar converted, Seasonally adjusted","M","Monthly","2017-04","Apr-2017","USD","US Dollar","9","Billions",,,26.90147,,
"XTEXVA01","Exports in goods (value)","RUS","Russia","CXMLSA","US-Dollar converted, Seasonally adjusted","M","Monthly","2017-05","May-2017","USD","US Dollar","9","Billions",,,28.42518,,
"XTEXVA01","Exports in goods (value)","RUS","Russia","CXMLSA","US-Dollar converted, Seasonally adjusted","M","Monthly","2017-06","Jun-2017","USD","US Dollar","9","Billions",,,29.32677,,
"XTEXVA01","Exports in goods (value)","RUS","Russia","CXMLSA","US-Dollar converted, Seasonally adjusted","M","Monthly","2017-07","Jul-2017","USD","US Dollar","9","Billions",,,26.66155,,
"XTEXVA01","Exports in goods (value)","RUS","Russia","CXMLSA","US-Dollar converted, Seasonally adjusted","M","Monthly","2017-08","Aug-2017","USD","US Dollar","9","Billions",,,29.32519,,
"XTEXVA01","Exports in goods (value)","RUS","Russia","CXMLSA","US-Dollar converted, Seasonally adjusted","M","Monthly","2017-09","Sep-2017","USD","US Dollar","9","Billions",,,30.355,,
"XTEXVA01","Exports in goods (value)","RUS","Russia","CXMLSA","US-Dollar converted, Seasonally adjusted","M","Monthly","2017-10","Oct-2017","USD","US Dollar","9","Billions",,,30.34817,,
"XTEXVA01","Exports in goods (value)","RUS","Russia","CXMLSA","US-Dollar converted, Seasonally adjusted","M","Monthly","2017-11","Nov-2017","USD","US Dollar","9","Billions",,,31.80518,,
"XTEXVA01","Exports in goods (value)","RUS","Russia","CXMLSA","US-Dollar converted, Seasonally adjusted","M","Monthly","2017-12","Dec-2017","USD","US Dollar","9","Billions",,,33.15315,,
"XTEXVA01","Exports in goods (value)","RUS","Russia","CXMLSA","US-Dollar converted, Seasonally adjusted","M","Monthly","2018-01","Jan-2018","USD","US Dollar","9","Billions",,,37.55322,,
"XTEXVA01","Exports in goods (value)","RUS","Russia","CXMLSA","US-Dollar converted, Seasonally adjusted","M","Monthly","2018-02","Feb-2018","USD","US Dollar","9","Billions",,,33.96721,,
"XTEXVA01","Exports in goods (value)","RUS","Russia","CXMLSA","US-Dollar converted, Seasonally adjusted","M","Monthly","2018-03","Mar-2018","USD","US Dollar","9","Billions",,,34.83299,,
"XTEXVA01","Exports in goods (value)","RUS","Russia","CXMLSA","US-Dollar converted, Seasonally adjusted","M","Monthly","2018-04","Apr-2018","USD","US Dollar","9","Billions",,,36.30131,,
"XTEXVA01","Exports in goods (value)","RUS","Russia","CXMLSA","US-Dollar converted, Seasonally adjusted","M","Monthly","2018-05","May-2018","USD","US Dollar","9","Billions",,,37.03133,,
"XTEXVA01","Exports in goods (value)","RUS","Russia","CXMLSA","US-Dollar converted, Seasonally adjusted","M","Monthly","2018-06","Jun-2018","USD","US Dollar","9","Billions",,,36.94761,,
"XTEXVA01","Exports in goods (value)","RUS","Russia","CXMLSA","US-Dollar converted, Seasonally adjusted","M","Monthly","2018-07","Jul-2018","USD","US Dollar","9","Billions",,,36.5671,,
"XTEXVA01","Exports in goods (value)","RUS","Russia","CXMLSA","US-Dollar converted, Seasonally adjusted","M","Monthly","2018-08","Aug-2018","USD","US Dollar","9","Billions",,,37.70675,,
"XTEXVA01","Exports in goods (value)","RUS","Russia","CXMLSA","US-Dollar converted, Seasonally adjusted","M","Monthly","2018-09","Sep-2018","USD","US Dollar","9","Billions",,,38.71341,,
"XTEXVA01","Exports in goods (value)","RUS","Russia","CXMLSA","US-Dollar converted, Seasonally adjusted","M","Monthly","2018-10","Oct-2018","USD","US Dollar","9","Billions",,,38.75824,,
"XTEXVA01","Exports in goods (value)","RUS","Russia","CXMLSA","US-Dollar converted, Seasonally adjusted","M","Monthly","2018-11","Nov-2018","USD","US Dollar","9","Billions",,,38.14911,,
"XTEXVA01","Exports in goods (value)","RUS","Russia","CXMLSA","US-Dollar converted, Seasonally adjusted","M","Monthly","2018-12","Dec-2018","USD","US Dollar","9","Billions",,,36.37916,,
"XTEXVA01","Exports in goods (value)","RUS","Russia","CXMLSA","US-Dollar converted, Seasonally adjusted","M","Monthly","2019-01","Jan-2019","USD","US Dollar","9","Billions",,,34.57896,,
"XTEXVA01","Exports in goods (value)","RUS","Russia","CXMLSA","US-Dollar converted, Seasonally adjusted","M","Monthly","2019-02","Feb-2019","USD","US Dollar","9","Billions",,,37.57792,,
"XTEXVA01","Exports in goods (value)","RUS","Russia","CXMLSA","US-Dollar converted, Seasonally adjusted","M","Monthly","2019-03","Mar-2019","USD","US Dollar","9","Billions",,,35.9452,,
"XTEXVA01","Exports in goods (value)","RUS","Russia","CXMLSA","US-Dollar converted, Seasonally adjusted","M","Monthly","2019-04","Apr-2019","USD","US Dollar","9","Billions",,,36.19081,,
"XTEXVA01","Exports in goods (value)","RUS","Russia","CXMLSA","US-Dollar converted, Seasonally adjusted","M","Monthly","2019-05","May-2019","USD","US Dollar","9","Billions",,,33.09393,,
"XTEXVA01","Exports in goods (value)","RUS","Russia","CXMLSA","US-Dollar converted, Seasonally adjusted","M","Monthly","2019-06","Jun-2019","USD","US Dollar","9","Billions",,,33.79136,,
"XTEXVA01","Exports in goods (value)","RUS","Russia","CXMLSA","US-Dollar converted, Seasonally adjusted","M","Monthly","2019-07","Jul-2019","USD","US Dollar","9","Billions",,,34.91796,,
"XTEXVA01","Exports in goods (value)","RUS","Russia","CXMLSA","US-Dollar converted, Seasonally adjusted","M","Monthly","2019-08","Aug-2019","USD","US Dollar","9","Billions",,,35.26339,,
"XTEXVA01","Exports in goods (value)","RUS","Russia","CXMLSA","US-Dollar converted, Seasonally adjusted","M","Monthly","2019-09","Sep-2019","USD","US Dollar","9","Billions",,,34.87114,,
"XTEXVA01","Exports in goods (value)","RUS","Russia","CXMLSA","US-Dollar converted, Seasonally adjusted","M","Monthly","2019-10","Oct-2019","USD","US Dollar","9","Billions",,,34.4694,,
"XTEXVA01","Exports in goods (value)","RUS","Russia","CXMLSA","US-Dollar converted, Seasonally adjusted","M","Monthly","2019-11","Nov-2019","USD","US Dollar","9","Billions",,,34.3125,,
"XTEXVA01","Exports in goods (value)","RUS","Russia","CXMLSA","US-Dollar converted, Seasonally adjusted","M","Monthly","2019-12","Dec-2019","USD","US Dollar","9","Billions",,,34.0443,,
"XTEXVA01","Exports in goods (value)","RUS","Russia","CXMLSA","US-Dollar converted, Seasonally adjusted","M","Monthly","2020-01","Jan-2020","USD","US Dollar","9","Billions",,,33.71867,,
"XTEXVA01","Exports in goods (value)","RUS","Russia","CXMLSA","US-Dollar converted, Seasonally adjusted","M","Monthly","2020-02","Feb-2020","USD","US Dollar","9","Billions",,,30.80378,,
"XTIMVA01","Imports in goods (value)","GBR","United Kingdom","CXMLSA","US-Dollar converted, Seasonally adjusted","M","Monthly","2016-10","Oct-2016","USD","US Dollar","9","Billions",,,44.41721,,
"XTIMVA01","Imports in goods (value)","GBR","United Kingdom","CXMLSA","US-Dollar converted, Seasonally adjusted","M","Monthly","2016-11","Nov-2016","USD","US Dollar","9","Billions",,,47.31657,,
"XTIMVA01","Imports in goods (value)","GBR","United Kingdom","CXMLSA","US-Dollar converted, Seasonally adjusted","M","Monthly","2016-12","Dec-2016","USD","US Dollar","9","Billions",,,48.61823,,
"XTIMVA01","Imports in goods (value)","GBR","United Kingdom","CXMLSA","US-Dollar converted, Seasonally adjusted","M","Monthly","2017-01","Jan-2017","USD","US Dollar","9","Billions",,,47.3887,,
"XTIMVA01","Imports in goods (value)","GBR","United Kingdom","CXMLSA","US-Dollar converted, Seasonally adjusted","M","Monthly","2017-02","Feb-2017","USD","US Dollar","9","Billions",,,48.17882,,
"XTIMVA01","Imports in goods (value)","GBR","United Kingdom","CXMLSA","US-Dollar converted, Seasonally adjusted","M","Monthly","2017-03","Mar-2017","USD","US Dollar","9","Billions",,,48.93863,,
"XTIMVA01","Imports in goods (value)","GBR","United Kingdom","CXMLSA","US-Dollar converted, Seasonally adjusted","M","Monthly","2017-04","Apr-2017","USD","US Dollar","9","Billions",,,48.51905,,
"XTIMVA01","Imports in goods (value)","GBR","United Kingdom","CXMLSA","US-Dollar converted, Seasonally adjusted","M","Monthly","2017-05","May-2017","USD","US Dollar","9","Billions",,,49.93279,,
"XTIMVA01","Imports in goods (value)","GBR","United Kingdom","CXMLSA","US-Dollar converted, Seasonally adjusted","M","Monthly","2017-06","Jun-2017","USD","US Dollar","9","Billions",,,49.53215,,
"XTIMVA01","Imports in goods (value)","GBR","United Kingdom","CXMLSA","US-Dollar converted, Seasonally adjusted","M","Monthly","2017-07","Jul-2017","USD","US Dollar","9","Billions",,,49.94623,,
"XTIMVA01","Imports in goods (value)","GBR","United Kingdom","CXMLSA","US-Dollar converted, Seasonally adjusted","M","Monthly","2017-08","Aug-2017","USD","US Dollar","9","Billions",,,51.43586,,
"XTIMVA01","Imports in goods (value)","GBR","United Kingdom","CXMLSA","US-Dollar converted, Seasonally adjusted","M","Monthly","2017-09","Sep-2017","USD","US Dollar","9","Billions",,,52.9822,,
"XTIMVA01","Imports in goods (value)","GBR","United Kingdom","CXMLSA","US-Dollar converted, Seasonally adjusted","M","Monthly","2017-10","Oct-2017","USD","US Dollar","9","Billions",,,51.94047,,
"XTIMVA01","Imports in goods (value)","GBR","United Kingdom","CXMLSA","US-Dollar converted, Seasonally adjusted","M","Monthly","2017-11","Nov-2017","USD","US Dollar","9","Billions",,,51.98811,,
"XTIMVA01","Imports in goods (value)","GBR","United Kingdom","CXMLSA","US-Dollar converted, Seasonally adjusted","M","Monthly","2017-12","Dec-2017","USD","US Dollar","9","Billions",,,53.57495,,
